Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,18.80,M. Ingram RB - NO ,-1.50,L. Miller RB - HOU ,12.30,J. Jones WR - ATL ,2.90,D. Adams WR - GB ,7.40,C. Fiedorowicz TE - HOU ,10.30,M. Evans WR - TB ,7.00,S. Gostkowski K - NE ,13.00,Titans DEF ,4.00,J. Maclin WR - KC ,10.30,V. Green TE - DEN ,5.50,B. Powell RB - NYJ ,13.90,C. Newton QB - CAR ,12.78,C. Palmer QB - ARI ,22.52,T. Benjamin WR - LAC ,10.40,A. Morris RB - DAL ,0.60,F. Whittaker RB - CAR ,1.00,J. Reed TE - WAS ,15.90,S. Watkins WR - BUF ,0.00,C. Brate TE - TB ,8.20,S. Coates WR - PIT ,0.00,S. Diggs WR - MIN ,13.60,K. Dixon RB - BAL ,0.00,Panthers DEF ,19.00,-,-,-,-,74.20,Chris,65.88
Dannye Van,8,A. Luck QB - IND ,18.40,J. Hill RB - CIN ,13.30,R. Kelley RB - WAS ,14.70,M. Crabtree WR - LV ,10.80,A. Jeffery WR - CHI ,12.30,D. Walker TE - TEN ,7.80,D. Hopkins WR - HOU ,4.40,B. McManus K - DEN ,9.00,Broncos DEF ,20.00,J. Stewart RB - CAR ,22.00,K. Rudolph TE - MIN ,3.10,D. Martin RB - TB ,0.00,G. Bernard RB - CIN ,12.60,L. Murray RB - LV ,7.10,K. Benjamin WR - CAR ,7.30,D. Carr QB - LV ,35.82,J. Matthews WR - PHI ,12.50,J. Langford RB - CHI ,1.10,D. Green-Beckham WR - PHI ,5.50,T. Sharpe WR - TEN ,1.10,P. Perkins RB - NYG ,0.00,T. Boyd WR - CIN ,4.10,D. Washington RB - DET ,0.00,C. Boswell K - PIT ,0.00,K. White WR - CHI ,0.00,-,-,110.70,the old man,104.50
Tilly,6,A. Dalton QB - CIN ,19.46,M. Asiata RB - MIN ,7.80,C. Thompson RB - WAS ,4.10,C. Beasley WR - DAL ,5.30,B. Cooks WR - NO ,10.40,M. Bennett TE - NE ,3.50,T. Montgomery RB - GB ,0.00,A. Vinatieri K - IND ,2.00,Packers DEF ,1.00,J. Nelson WR - GB ,15.40,J. Edelman WR - NE ,9.70,D. Williams RB - PIT ,0.00,B. Roethlisberger QB - PIT ,0.00,V. Cruz WR - NYG ,0.00,B. Osweiler QB - HOU ,9.14,R. Woods WR - BUF ,5.00,T. West RB - BAL ,0.00,J. McKinnon RB - MIN ,0.00,T. Rawls RB - SEA ,0.00,P. Lynch QB - DEN ,0.00,H. Henry TE - LAC ,1.40,C. Prosise RB - SEA ,10.30,R. Aguayo K - TB ,4.00,Colts DEF ,2.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.00,53.56,bob,101.38
LeMar,5,M. Stafford QB - DET ,13.60,D. Murray RB - TEN ,18.80,M. Gordon RB - LAC ,15.50,R. Cobb WR - GB ,0.00,R. Matthews WR - TEN ,9.80,J. Tamme TE - ATL ,1.90,J. Rodgers RB - TB ,13.80,--empty--,-,Cardinals DEF ,3.00,M. Ryan QB - ATL ,24.42,T. Hightower RB - NO ,10.20,R. Jennings RB - NYG ,0.00,R. Mathews RB - PHI ,7.10,D. Thomas WR - DEN ,7.90,J. Thomas TE - JAX ,8.80,T. Smith WR - SF ,0.00,G. Olsen TE - CAR ,1.10,A. Gates TE - LAC ,9.30,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.80,A. Hurns WR - JAX ,15.80,J. Goff QB - LA ,0.00,N. Folk K - NYJ ,7.00,Seahawks DEF ,10.00,-,-,76.40,Quinten,81.44
Quinten,7,A. Rodgers QB - GB ,33.84,T. Yeldon RB - JAX ,5.60,D. Henry RB - TEN ,15.70,D. Jackson WR - WAS ,4.80,W. Fuller WR - HOU ,2.30,J. Graham TE - SEA ,3.40,E. Sanders WR - DEN ,6.80,M. Prater K - DET ,7.00,Patriots DEF ,2.00,J. Cook TE - GB ,0.00,S. Vereen RB - NYG ,0.00,P. Rivers QB - LAC ,12.68,K. Juszczyk RB - BAL ,0.00,E. Ebron TE - DET ,7.90,A. Robinson WR - JAX ,7.00,D. Moncrief WR - IND ,10.00,C. Hyde RB - SF ,0.00,C. Sims RB - TB ,0.00,J. Brown WR - ARI ,10.90,J. Heuerman TE - DEN ,0.00,C. Barth K - CHI ,8.00,C. Catanzaro K - ARI ,2.00,C. Santos K - KC ,12.00,Lions DEF ,6.00,-,-,-,-,81.44,LeMar,76.40
bob,4,D. Prescott QB - DAL ,27.28,D. Freeman RB - ATL ,17.80,D. Booker RB - DEN ,12.40,B. Marshall WR - NYJ ,6.80,M. Thomas WR - NO ,6.30,G. Barnidge TE - CLE ,4.20,B. LaFell WR - CIN ,0.60,C. Sturgis K - PHI ,13.00,Chargers DEF ,13.00,L. Blount RB - NE ,10.30,D. Bryant WR - DAL ,17.30,A. Brown WR - PIT ,0.00,M. Jones WR - DET ,3.30,R. Tannehill QB - MIA ,0.00,L. Bell RB - PIT ,0.00,T. Kelce TE - KC ,16.10,B. Bortles QB - JAX ,29.68,C. Artis-Payne RB - CAR ,0.00,D. Parker WR - MIA ,0.00,D. Funchess WR - CAR ,3.80,T. Gurley RB - LA ,0.00,E. Rogers WR - PIT ,0.00,J. Howard RB - CHI ,26.20,Ravens DEF ,0.00,E. Decker WR - NYJ ,0.00,-,-,101.38,Tilly,53.56
the old man,3,T. Brady QB - NE ,30.10,F. Gore RB - IND ,12.20,J. White RB - NE ,2.90,D. Baldwin WR - SEA ,5.10,T. Hilton WR - IND ,2.00,R. Gronkowski TE - NE ,16.90,A. Cooper WR - LV ,23.30,D. Hopkins K - WAS ,9.00,Eagles DEF ,3.00,J. Forsett RB - DEN ,0.00,L. McCoy RB - BUF ,0.00,G. Tate WR - DET ,4.20,T. Taylor QB - BUF ,18.12,L. Fitzgerald WR - ARI ,7.40,T. Pryor WR - CLE ,12.10,R. Turbin RB - IND ,3.40,T. Austin WR - LA ,0.00,C. Walford TE - LV ,3.10,M. Mariota QB - TEN ,19.90,T. Siemian QB - DEN ,6.84,S. Shepard WR - NYG ,0.00,D. Washington RB - LV ,3.20,D. Bailey K - DAL ,11.00,Bills DEF ,1.00,A. Abdullah RB - DET ,0.00,-,-,104.50,Dannye Van,110.70
Jeff,1,D. Brees QB - NO ,20.70,C. Michael RB - GB ,10.20,D. Johnson RB - ARI ,10.80,A. Green WR - CIN ,12.10,M. Floyd WR - NE ,0.00,T. Eifert TE - CIN ,16.20,S. Ware RB - KC ,4.70,S. Hauschka K - SEA ,8.00,Chiefs DEF ,11.00,M. Forte RB - NYJ ,21.80,J. Charles RB - KC ,0.00,K. Britt WR - LA ,0.00,S. Bradford QB - MIN ,13.12,R. Wilson QB - SEA ,9.22,J. Landry WR - MIA ,0.00,O. Beckham WR - NYG ,0.00,I. Crowell RB - CLE ,12.30,T. Coleman RB - ATL ,0.00,J. James TE - PIT ,0.00,M. Jones RB - WAS ,0.00,T. Williams WR - LAC ,0.40,K. Drake RB - MIA ,0.00,C. Coleman WR - CLE ,0.00,Rams DEF ,0.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,93.70,Matthew,88.42
Chris,10,A. Smith QB - KC ,9.98,A. Blue RB - HOU ,4.10,D. Johnson RB - CLE ,11.60,J. Kearse WR - SEA ,5.70,W. Snead WR - NO ,5.60,J. Witten TE - DAL ,7.60,Q. Enunwa WR - NYJ ,15.30,B. Walsh K ,4.00,Vikings DEF ,2.00,P. Garcon WR - WAS ,6.70,D. Amendola WR - NE ,8.90,B. Gabbert QB - SF ,0.00,E. Manning QB - NYG ,0.00,D. Sproles RB - PHI ,10.30,M. Wallace WR - BAL ,0.00,C. Hogan WR - NE ,15.10,D. Allen TE - IND ,0.00,C. Anderson RB - DEN ,0.00,R. Rodgers TE - GB ,0.00,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.00,J. Richard RB - LV ,3.70,J. Tucker K - BAL ,0.00,Steelers DEF ,0.00,-,-,-,-,65.88,Will,74.20
Matthew,9,K. Cousins QB - WAS ,24.22,C. Ivory RB - JAX ,1.20,E. Elliott RB - DAL ,14.80,M. Sanu WR - ATL ,14.40,P. Dorsett WR - IND ,3.30,J. Doyle TE - IND ,3.60,K. Wright WR - TEN ,15.90,M. Crosby K - GB ,6.00,Texans DEF ,5.00,J. Flacco QB - BAL ,0.00,E. Royal WR - CHI ,0.00,Z. Miller TE - CHI ,8.80,R. Fitzpatrick QB - NYJ ,14.42,C. Fleener TE - NO ,3.60,L. Green TE - PIT ,0.00,T. Riddick RB - DET ,19.30,Z. Ertz TE - PHI ,1.90,T. Lockett WR - SEA ,3.20,J. Ajayi RB - MIA ,0.00,N. Agholor WR - PHI ,2.50,J. Allen RB - BAL ,0.00,C. Wentz QB - PHI ,11.78,N. Novak K - HOU ,8.00,Redskins DEF ,7.00,-,-,-,-,88.42,Jeff,93.70
